date,検査数,相談件数,陽性数,検査数累計,相談件数累計,陽性数累計
2020-02-01,1,0,0,1,0,0
2020-02-02,0,0,0,1,0,0
2020-02-03,0,0,0,1,0,0
2020-02-04,0,77,0,1,77,0
2020-02-05,0,58,0,1,135,0
2020-02-06,1,43,0,2,178,0
2020-02-07,1,30,0,3,208,0
2020-02-08,2,20,0,5,228,0
2020-02-09,0,15,0,5,243,0
2020-02-10,1,23,0,6,266,0
2020-02-11,0,11,0,6,277,0
2020-02-12,0,25,0,6,302,0
2020-02-13,0,23,0,6,325,0
2020-02-14,1,55,0,7,380,0
2020-02-15,0,48,0,7,428,0
2020-02-16,0,44,0,7,472,0
2020-02-17,1,112,0,8,584,0
2020-02-18,2,125,0,10,709,0
2020-02-19,5,125,0,15,834,0
2020-02-20,2,116,0,17,950,0
2020-02-21,1,137,0,18,1087,0
2020-02-22,0,143,0,18,1230,0
2020-02-23,1,144,0,19,1374,0
2020-02-24,2,177,0,21,1551,0
2020-02-25,4,266,0,25,1817,0
2020-02-26,4,213,0,29,2030,0
2020-02-27,2,242,0,31,2272,0
2020-02-28,2,248,0,33,2520,0
2020-02-29,7,339,1,40,2859,1
2020-03-01,1,242,0,41,3101,1
2020-03-02,2,318,0,43,3419,1
2020-03-03,13,259,0,56,3678,1
2020-03-04,3,249,0,59,3927,1
2020-03-05,6,220,0,65,4147,1
2020-03-06,6,228,0,71,4375,1
2020-03-07,5,135,0,76,4510,1
2020-03-08,1,143,0,77,4653,1
2020-03-09,5,248,0,82,4901,1
2020-03-10,13,224,0,95,5125,1
2020-03-11,7,176,0,102,5301,1
2020-03-12,8,171,0,110,5472,1
2020-03-13,6,186,0,116,5658,1
2020-03-14,11,95,0,127,5753,1
2020-03-15,2,116,0,129,5869,1
2020-03-16,0,194,0,129,6063,1
2020-03-17,9,158,0,138,6221,1
2020-03-18,6,163,0,144,6384,1
2020-03-19,5,151,0,149,6535,1
2020-03-20,7,110,0,156,6645,1
2020-03-21,0,115,0,156,6760,1
2020-03-22,4,103,0,160,6863,1
2020-03-23,2,179,0,162,7042,1
2020-03-24,13,146,0,175,7188,1
2020-03-25,5,167,0,180,7355,1
2020-03-26,7,217,1,187,7572,2
2020-03-27,6,276,0,193,7848,2
2020-03-28,9,215,0,202,8063,2
2020-03-29,6,219,2,208,8282,4
2020-03-30,4,451,2,212,8733,6
2020-03-31,42,522,1,254,9255,7
2020-04-01,54,655,4,308,9910,11
2020-04-02,39,528,1,347,10438,12
2020-04-03,44,583,6,391,11021,18
2020-04-04,58,689,2,449,11710,20
2020-04-05,27,861,3,476,12571,23
2020-04-06,17,751,3,493,13322,26
2020-04-07,59,752,6,552,14074,32
2020-04-08,52,756,2,604,14830,34
2020-04-09,56,952,2,660,15782,36
2020-04-10,59,772,2,719,16554,38
2020-04-11,67,682,7,786,17236,45
2020-04-12,30,743,6,816,17979,51
2020-04-13,36,969,3,852,18948,54
2020-04-14,144,931,10,996,19879,64
2020-04-15,113,845,1,1109,20724,65
2020-04-16,94,905,10,1203,21629,75
2020-04-17,57,858,4,1260,22487,79
2020-04-18,79,674,4,1339,23161,83
2020-04-19,30,601,0,1369,23762,83
2020-04-20,18,819,1,1387,24581,84
2020-04-21,51,736,0,1438,25317,84
2020-04-22,53,658,0,1491,25975,84
2020-04-23,77,709,0,1568,26684,84
2020-04-24,65,657,0,1633,27341,84
2020-04-25,71,539,1,1704,27880,85
2020-04-26,10,464,0,1714,28344,85
2020-04-27,30,668,1,1744,29012,86
2020-04-28,67,494,2,1811,29506,88
2020-04-29,74,471,0,1885,29977,88
2020-04-30,25,583,0,1910,30560,88
2020-05-01,54,445,0,1964,31005,88
2020-05-02,77,347,0,2041,31352,88
2020-05-03,38,249,0,2079,31601,88
2020-05-04,31,343,0,2110,31944,88
2020-05-05,29,329,0,2139,32273,88
2020-05-06,27,377,0,2166,32650,88
2020-05-07,17,446,0,2183,33096,88
2020-05-08,56,343,0,2239,33439,88
2020-05-09,43,346,0,2282,33785,88
2020-05-10,15,295,0,2297,34080,88
2020-05-11,25,468,0,2322,34548,88
2020-05-12,49,316,0,2371,34864,88
2020-05-13,57,277,0,2428,35141,88
2020-05-14,47,257,0,2475,35398,88
2020-05-15,36,286,0,2511,35684,88
2020-05-16,35,187,0,2546,35871,88
2020-05-17,29,154,0,2575,36025,88
2020-05-18,13,284,0,2588,36309,88
2020-05-19,28,210,0,2616,36519,88
2020-05-20,26,160,0,2642,36679,88
2020-05-21,25,171,0,2667,36850,88
2020-05-22,10,187,0,2677,37037,88
2020-05-23,16,129,0,2693,37166,88
2020-05-24,8,117,0,2701,37283,88
2020-05-25,7,218,0,2708,37501,88
2020-05-26,18,169,0,2726,37670,88
2020-05-27,16,164,0,2742,37834,88
2020-05-28,16,144,0,2758,37978,88
2020-05-29,22,146,0,2780,38124,88
2020-05-30,21,102,0,2801,38226,88
2020-05-31,6,123,0,2807,38349,88
2020-06-01,2,203,0,2809,38552,88
2020-06-02,27,178,0,2836,38730,88
2020-06-03,31,202,0,2867,38932,88
2020-06-04,22,205,0,2889,39137,88
2020-06-05,21,185,0,2910,39322,88
2020-06-06,22,129,0,2932,39451,88
2020-06-07,22,142,0,2954,39593,88
2020-06-08,10,228,0,2964,39821,88
2020-06-09,17,182,0,2981,40003,88
2020-06-10,31,164,0,3012,40167,88
2020-06-11,33,174,0,3045,40341,88
2020-06-12,13,166,0,3058,40507,88
2020-06-13,25,123,0,3083,40630,88
2020-06-14,12,109,0,3095,40739,88
2020-06-15,9,220,0,3104,40959,88
2020-06-16,18,148,0,3122,41107,88
2020-06-17,16,157,0,3138,41264,88
2020-06-18,23,160,1,3161,41424,89
2020-06-19,18,206,0,3179,41630,89
2020-06-20,52,110,0,3231,41740,89
2020-06-21,12,99,0,3243,41839,89
2020-06-22,3,232,1,3246,42071,90
2020-06-23,17,203,0,3263,42274,90
2020-06-24,35,179,1,3298,42453,91
2020-06-25,46,183,0,3344,42636,91
2020-06-26,25,193,1,3369,42829,92
2020-06-27,30,151,0,3399,42980,92
2020-06-28,15,167,2,3414,43147,94
2020-06-29,19,297,0,3433,43444,94
2020-06-30,45,248,0,3478,43692,94
2020-07-01,36,253,1,3514,43945,95
2020-07-02,32,225,0,3546,44170,95
2020-07-03,26,252,2,3572,44422,97
2020-07-04,44,213,1,3616,44635,98
2020-07-05,22,190,0,3638,44825,98
2020-07-06,27,292,0,3665,45117,98
2020-07-07,47,252,0,3712,45369,98
2020-07-08,35,249,1,3747,45618,99
2020-07-09,61,264,1,3808,45882,100
2020-07-10,36,248,0,3844,46130,100
2020-07-11,98,214,4,3942,46344,104
2020-07-12,35,251,2,3977,46595,106
2020-07-13,43,378,2,4020,46973,108
2020-07-14,96,316,2,4116,47289,110
2020-07-15,48,293,2,4164,47582,112
2020-07-16,116,387,14,4280,47969,126
2020-07-17,80,398,3,4360,48367,129
2020-07-18,102,298,3,4462,48665,132
2020-07-19,29,263,0,4491,48928,132
2020-07-20,39,374,4,4530,49302,136
2020-07-21,109,358,0,4639,49660,136
2020-07-22,97,321,2,4736,49981,138
2020-07-23,79,273,2,4815,50254,140
2020-07-24,70,270,0,4885,50524,140
2020-07-25,23,287,2,4908,50811,142
2020-07-26,27,270,0,4935,51081,142
2020-07-27,33,434,5,4968,51515,147
2020-07-28,48,330,2,5016,51845,149
2020-07-29,90,325,4,5106,52170,153
2020-07-30,76,346,5,5182,52516,158
2020-07-31,89,335,2,5271,52851,160
2020-08-01,110,308,5,5381,53159,165
2020-08-02,83,273,3,5464,53432,168
2020-08-03,37,364,6,5501,53796,174
2020-08-04,90,325,2,5591,54121,176
2020-08-05,79,316,1,5670,54437,177
2020-08-06,171,327,3,5841,54764,180
2020-08-07,113,302,1,5954,55066,181
2020-08-08,116,246,1,6070,55312,182
2020-08-09,29,225,0,6099,55537,182
2020-08-10,35,254,0,6134,55791,182
2020-08-11,29,310,0,6163,56101,182
2020-08-12,67,264,2,6230,56365,184
2020-08-13,96,219,0,6326,56584,184
2020-08-14,36,275,0,6362,56859,184
2020-08-15,47,224,0,6409,57083,184
2020-08-16,36,258,0,6445,57341,184
2020-08-17,20,390,1,6465,57731,185
2020-08-18,36,251,1,6501,57982,186
